"$r6 = staticinvoke <android.net.Uri: android.net.Uri parse(java.lang.String)>(""content://sms"")","<com.km.tool.Noti: android.net.Uri replaceMessage(android.content.Context,android.content.ContentValues)>","<com.km.tool.Noti: android.net.Uri replaceMessage(android.content.Context,android.content.ContentValues)>"
"$r4 = virtualinvoke $r1.<java.net.URL: java.net.URLConnection openConnection()>()","<com.km.HttpBox: void connect()>","<com.km.MainActivity: void onCreate(android.os.Bundle)>","<km.home.Home: void onCreate(android.os.Bundle)>","<com.km.MainActivity: void onClick(android.content.DialogInterface,int)>"
"$r6 = staticinvoke <android.net.Uri: android.net.Uri parse(java.lang.String)>(""content://sms/inbox"")","<com.km.tool.Noti: android.net.Uri replaceMessage(android.content.Context,android.content.ContentValues)>","<com.km.tool.Noti: android.net.Uri replaceMessage(android.content.Context,android.content.ContentValues)>"
"staticinvoke <android.util.Log: int i(java.lang.String,java.lang.String)>(""sendBroadcast"", ""android.provider.Telephony.SMS_RECEIVED"")","<com.km.tool.SmsCreator: void sendBroadcast(android.content.Context)>","<com.km.tool.SmsCreator: void sendBroadcast(android.content.Context)>"
"$r4 = staticinvoke <android.net.Uri: android.net.Uri parse(java.lang.String)>(""content://sms/inbox"")","<com.km.SmsReceive: void start(android.content.Context)>","<com.km.SmsReceive: void start(android.content.Context)>"
"specialinvoke $r7.<java.lang.StringBuilder: void <init>(java.lang.String)>(""content://sms/"")","<com.km.MmsReceive: void start(android.content.Context)>","<com.km.MmsReceive: void start(android.content.Context)>"
"$z0 = virtualinvoke $r5.<java.lang.String: boolean equals(java.lang.Object)>(""android.provider.Telephony.SMS_RECEIVED"")","<com.km.HoldMessage: void onReceive(android.content.Context,android.content.Intent)>"
"$r0 = staticinvoke <android.net.Uri: android.net.Uri parse(java.lang.String)>(""content://sms/inbox"")","<com.km.tool.SmsCreator: void <clinit>()>","<com.km.tool.SmsCreator: void <clinit>()>"
"specialinvoke $r6.<java.lang.StringBuilder: void <init>(java.lang.String)>(""content://sms/"")","<com.km.tool.SmsMmsManager: void smsDel(android.content.Context,java.lang.String[])>","<com.km.tool.SmsMmsManager: void smsDel(android.content.Context,java.lang.String[])>"
"specialinvoke $r7.<java.lang.StringBuilder: void <init>(java.lang.String)>(""content://sms/"")","<com.km.SmsReceive: void start(android.content.Context)>","<com.km.SmsReceive: void start(android.content.Context)>"
"specialinvoke $r4.<android.content.Intent: void <init>(java.lang.String)>(""android.provider.Telephony.SMS_RECEIVED"")","<com.km.tool.SmsCreator: void sendBroadcast(android.content.Context)>","<com.km.tool.SmsCreator: void sendBroadcast(android.content.Context)>"
"$r4 = virtualinvoke $r1.<java.net.URL: java.net.URLConnection openConnection()>()","<com.km.tool.HttpBox: void connect()>","<com.km.MainActivity: void onCreate(android.os.Bundle)>","<km.home.Home: void onCreate(android.os.Bundle)>","<com.km.MainActivity: void onClick(android.content.DialogInterface,int)>","<com.km.HoldMessage: void onReceive(android.content.Context,android.content.Intent)>"
"$r3 = staticinvoke <android.net.Uri: android.net.Uri parse(java.lang.String)>(""content://sms/inbox"")","<com.km.tool.SmsMmsManager: void smsDel(android.content.Context,java.lang.String[])>","<com.km.tool.SmsMmsManager: void smsDel(android.content.Context,java.lang.String[])>"
"$r4 = virtualinvoke $r1.<java.net.URL: java.net.URLConnection openConnection()>()","<com.km.tool.Http: void connectOperate()>","<com.km.MainActivity: void onCreate(android.os.Bundle)>","<km.home.Home: void onCreate(android.os.Bundle)>","<com.km.MainActivity: void onClick(android.content.DialogInterface,int)>"
"$r4 = staticinvoke <android.net.Uri: android.net.Uri parse(java.lang.String)>(""content://sms/inbox"")","<com.km.tool.Noti: android.net.Uri storeMessage(android.content.Context,android.content.ContentValues)>","<com.km.tool.Noti: android.net.Uri storeMessage(android.content.Context,android.content.ContentValues)>"
"$r4 = staticinvoke <android.net.Uri: android.net.Uri parse(java.lang.String)>(""content://sms/inbox"")","<com.km.MmsReceive: void start(android.content.Context)>","<com.km.MmsReceive: void start(android.content.Context)>"
