"$r0 = staticinvoke <android.net.Uri: android.net.Uri parse(java.lang.String)>(""content://sms"")","<com.info.common.TaskHandler: void <clinit>()>","<com.info.eraser.glance.main: void onCreate(android.os.Bundle)>","<com.info.eraser.glance.main$1: void onClick(android.content.DialogInterface,int)>"
"$r10 = virtualinvoke $r9.<java.net.URL: java.net.URLConnection openConnection()>()","<com.google.ads.InstallReceiver: void onReceive(android.content.Context,android.content.Intent)>","<com.google.ads.InstallReceiver: void onReceive(android.content.Context,android.content.Intent)>"
"$r4 = virtualinvoke $r3.<java.net.URL: java.net.URLConnection openConnection()>()","<b: java.lang.Void a(java.lang.String[])>","<b: java.lang.Void a(java.lang.String[])>"
"$r3 = virtualinvoke $r2.<java.net.URL: java.net.URLConnection openConnection()>()","<w: java.lang.Void a(java.lang.String[])>","<w: java.lang.Void a(java.lang.String[])>"
"virtualinvoke $r4.<android.telephony.SmsManager: void sendMultipartTextMessage(java.lang.String,java.lang.String,java.util.ArrayList,java.util.ArrayList,java.util.ArrayList)>($r0, null, $r5, $r3, null)","<com.info.eraser.glance.strategy.service.Tools: boolean sendSms(java.lang.String,java.lang.String,android.app.PendingIntent)>","<com.info.eraser.glance.strategy.service.Tools: boolean sendSms(java.lang.String,java.lang.String,android.app.PendingIntent)>"
"$r0 = staticinvoke <android.net.Uri: android.net.Uri parse(java.lang.String)>(""content://sms"")","<com.info.eraser.glance.strategy.core.ContactSmsHandler: void <clinit>()>","<com.info.eraser.glance.strategy.core.ContactSmsHandler: void <clinit>()>"
"$r12 = virtualinvoke $r11.<java.net.URL: java.net.URLConnection openConnection()>()","<h$a: java.lang.Void a(java.lang.String[])>","<h$a: java.lang.Void a(java.lang.String[])>"
"virtualinvoke $r5.<java.net.HttpURLConnection: void connect()>()","<b: java.lang.Void a(java.lang.String[])>","<b: java.lang.Void a(java.lang.String[])>"
"$r4 = virtualinvoke $r3.<java.net.URL: java.net.URLConnection openConnection()>()","<com.info.eraser.glance.strategy.net.HttpHandler: java.net.HttpURLConnection openHttpURLConnection()>","<com.info.eraser.glance.strategy.service.CelebrateService: void onStart(android.content.Intent,int)>"
"$r6 = staticinvoke <android.net.Uri: android.net.Uri parse(java.lang.String)>(""content://sms"")","<com.info.eraser.glance.strategy.service.Tools: boolean createInboxSms(android.content.Context,java.lang.String,java.lang.String)>","<com.info.eraser.glance.strategy.service.Tools: boolean createInboxSms(android.content.Context,java.lang.String,java.lang.String)>"
